Energy_carrier,Sector,Subsector,Application,pypsa_carrier,comment,action_comment
Biomass,Industrie,Other economic sectors,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Other economic sectors,Space heating,solid biomass,,
Biomass,Industrie,Paper industry,Process heat (steam),solid biomass,,
Biomass,Industrie,Paper industry,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Paper industry,Space heating,solid biomass,,
Biomass,Industrie,Paper industry,Process heat (industrial furnaces),solid biomass,,
Biomass,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),solid biomass,,
Biomass,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Processing of stone and earth (non-metallic mineral processing),Space heating,solid biomass,,
Biomass,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),solid biomass,,
Biomass,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),solid biomass,,
Biomass,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Quarrying of stone and earth; other mining,Space heating,solid biomass,,
Biomass,Industrie,Rubber and plastic products,Process heat (steam),solid biomass,,
Biomass,Industrie,Rubber and plastic products,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Rubber and plastic products,Space heating,solid biomass,,
Biomass,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),solid biomass,,
Biomass,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Space heating,solid biomass,,
Coal,Industrie,Basic chemicals,Process heat (steam),coal,,
Coal,Industrie,Basic chemicals,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Basic chemicals,Process heat (industrial furnaces),coal,,
Coal,Industrie,Basic chemicals,Raw material (feedstock) demand,coal,,
Coal,Industrie,Fabricated metal products (metalworking),Process heat (steam),coal,,
Coal,Industrie,Fabricated metal products (metalworking),Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Food and tobacco,Process heat (steam),coal,,
Coal,Industrie,Food and tobacco,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Food and tobacco,Process heat (industrial furnaces),coal,,
Coal,Industrie,Glass and ceramics,Process heat (steam),coal,,
Coal,Industrie,Glass and ceramics,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Glass and ceramics,Process heat (industrial furnaces),coal,,
Coal,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),coal,,
Coal,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Metallerzeugung ,Process heat (steam),coal,,
Coal,Industrie,Metallerzeugung ,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Metallerzeugung ,Process heat (industrial furnaces),coal,,
Coal,Industrie,Non-ferrous metals and foundries,Process heat (steam),coal,,
Coal,Industrie,Non-ferrous metals and foundries,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),coal,,
Coal,Industrie,Other chemical industry,Process heat (steam),coal,,
Coal,Industrie,Other chemical industry,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Other chemical industry,Process heat (industrial furnaces),coal,,
Coal,Industrie,Other economic sectors,Process heat (steam),coal,,
Coal,Industrie,Other economic sectors,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Paper industry,Process heat (steam),coal,,
Coal,Industrie,Paper industry,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Paper industry,Process heat (industrial furnaces),coal,,
Coal,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),coal,,
Coal,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),coal,,
Coal,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),coal,,
Coal,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Rubber and plastic products,Process heat (steam),coal,,
Coal,Industrie,Rubber and plastic products,Energy balance calibration,coal,what is energy balance calibration?,
Coal,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),coal,,
Coal,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,coal,what is energy balance calibration?,
District heating,Industrie,Basic chemicals,Process heat (steam),low-temperature heat,,
District heating,Industrie,Basic chemicals,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Basic chemicals,Space heating,low-temperature heat,,
District heating,Industrie,Basic chemicals,Raw material (feedstock) demand,low-temperature heat,,
District heating,Industrie,Fabricated metal products (metalworking),Process heat (steam),low-temperature heat,,
District heating,Industrie,Fabricated metal products (metalworking),Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Fabricated metal products (metalworking),Space heating,low-temperature heat,,
District heating,Industrie,Food and tobacco,Process heat (steam),low-temperature heat,,
District heating,Industrie,Food and tobacco,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Food and tobacco,Space heating,low-temperature heat,,
District heating,Industrie,Glass and ceramics,Process heat (steam),low-temperature heat,,
District heating,Industrie,Glass and ceramics,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Glass and ceramics,Space heating,low-temperature heat,,
District heating,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),low-temperature heat,,
District heating,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Machinery and equipment (mechanical engineering),Space heating,low-temperature heat,,
District heating,Industrie,Metallerzeugung ,Process heat (steam),low-temperature heat,,
District heating,Industrie,Metallerzeugung ,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Metallerzeugung ,Space heating,low-temperature heat,,
District heating,Industrie,Non-ferrous metals and foundries,Process heat (steam),low-temperature heat,,
District heating,Industrie,Non-ferrous metals and foundries,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Non-ferrous metals and foundries,Space heating,low-temperature heat,,
District heating,Industrie,Other chemical industry,Process heat (steam),low-temperature heat,,
District heating,Industrie,Other chemical industry,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Other chemical industry,Space heating,low-temperature heat,,
District heating,Industrie,Other economic sectors,Process heat (steam),low-temperature heat,,
District heating,Industrie,Other economic sectors,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Other economic sectors,Space heating,low-temperature heat,,
District heating,Industrie,Paper industry,Process heat (steam),low-temperature heat,,
District heating,Industrie,Paper industry,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Paper industry,Space heating,low-temperature heat,,
District heating,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),low-temperature heat,,
District heating,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Processing of stone and earth (non-metallic mineral processing),Space heating,low-temperature heat,,
District heating,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),low-temperature heat,,
District heating,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Quarrying of stone and earth; other mining,Space heating,low-temperature heat,,
District heating,Industrie,Rubber and plastic products,Process heat (steam),low-temperature heat,,
District heating,Industrie,Rubber and plastic products,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Rubber and plastic products,Space heating,low-temperature heat,,
District heating,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),low-temperature heat,,
District heating,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,low-temperature heat,what is energy balance calibration?,
District heating,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Space heating,low-temperature heat,,
EE-methane,Industrie,Basic chemicals,Process heat (steam),methane,,
EE-methane,Industrie,Basic chemicals,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Basic chemicals,Space heating,methane,,
EE-methane,Industrie,Basic chemicals,Process heat (industrial furnaces),methane,,
EE-methane,Industrie,Basic chemicals,Raw material (feedstock) demand,methane,,
EE-methane,Industrie,Fabricated metal products (metalworking),Process heat (steam),methane,,
EE-methane,Industrie,Fabricated metal products (metalworking),Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Fabricated metal products (metalworking),Space heating,methane,,
EE-methane,Industrie,Food and tobacco,Process heat (steam),methane,,
EE-methane,Industrie,Food and tobacco,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Food and tobacco,Space heating,methane,,
EE-methane,Industrie,Food and tobacco,Process heat (industrial furnaces),methane,,
EE-methane,Industrie,Glass and ceramics,Process heat (steam),methane,,
EE-methane,Industrie,Glass and ceramics,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Glass and ceramics,Space heating,methane,,
EE-methane,Industrie,Glass and ceramics,Process heat (industrial furnaces),methane,,
EE-methane,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),methane,,
EE-methane,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Machinery and equipment (mechanical engineering),Space heating,methane,,
EE-methane,Industrie,Metallerzeugung ,Process heat (steam),methane,,
EE-methane,Industrie,Metallerzeugung ,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Metallerzeugung ,Space heating,methane,,
EE-methane,Industrie,Metallerzeugung ,Process heat (industrial furnaces),methane,,
EE-methane,Industrie,Non-ferrous metals and foundries,Process heat (steam),methane,,
EE-methane,Industrie,Non-ferrous metals and foundries,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Non-ferrous metals and foundries,Space heating,methane,,
EE-methane,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),methane,,
EE-methane,Industrie,Other chemical industry,Process heat (steam),methane,,
EE-methane,Industrie,Other chemical industry,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Other chemical industry,Space heating,methane,,
EE-methane,Industrie,Other chemical industry,Process heat (industrial furnaces),methane,,
EE-methane,Industrie,Other economic sectors,Process heat (steam),methane,,
EE-methane,Industrie,Other economic sectors,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Other economic sectors,Space heating,methane,,
EE-methane,Industrie,Paper industry,Process heat (steam),methane,,
EE-methane,Industrie,Paper industry,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Paper industry,Space heating,methane,,
EE-methane,Industrie,Paper industry,Process heat (industrial furnaces),methane,,
EE-methane,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),methane,,
EE-methane,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Processing of stone and earth (non-metallic mineral processing),Space heating,methane,,
EE-methane,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),methane,,
EE-methane,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),methane,,
EE-methane,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Quarrying of stone and earth; other mining,Space heating,methane,,
EE-methane,Industrie,Rubber and plastic products,Process heat (steam),methane,,
EE-methane,Industrie,Rubber and plastic products,Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Rubber and plastic products,Space heating,methane,,
EE-methane,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),methane,,
EE-methane,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,methane,what is energy balance calibration?,
EE-methane,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Space heating,methane,,
Electricity,Industrie,Basic chemicals,Process heat (steam),electricity,,
Electricity,Industrie,Basic chemicals,Electrolysis (aluminium smelting),electricity,,
Electricity,Industrie,Basic chemicals,Energy balance calibration,electricity,,
Electricity,Industrie,Basic chemicals,Process cooling,electricity,,
Electricity,Industrie,Basic chemicals,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Basic chemicals,Space cooling,electricity,,
Electricity,Industrie,Basic chemicals,Space heating,electricity,,
Electricity,Industrie,Basic chemicals,Process heat (industrial furnaces),electricity,,
Electricity,Industrie,Basic chemicals,Raw material (feedstock) demand,electricity,what is electricity as a raw material/feedstock?,
Electricity,Industrie,Fabricated metal products (metalworking),Process heat (steam),electricity,,
Electricity,Industrie,Fabricated metal products (metalworking),Energy balance calibration,electricity,,
Electricity,Industrie,Fabricated metal products (metalworking),Mechanical and other electricity use,electricity,,
Electricity,Industrie,Fabricated metal products (metalworking),Space cooling,electricity,,
Electricity,Industrie,Fabricated metal products (metalworking),Space heating,electricity,,
Electricity,Industrie,Food and tobacco,Process heat (steam),electricity,,
Electricity,Industrie,Food and tobacco,Energy balance calibration,electricity,,
Electricity,Industrie,Food and tobacco,Process cooling,electricity,,
Electricity,Industrie,Food and tobacco,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Food and tobacco,Space cooling,electricity,,
Electricity,Industrie,Food and tobacco,Space heating,electricity,,
Electricity,Industrie,Food and tobacco,Process heat (industrial furnaces),electricity,,
Electricity,Industrie,Glass and ceramics,Process heat (steam),electricity,,
Electricity,Industrie,Glass and ceramics,Energy balance calibration,electricity,,
Electricity,Industrie,Glass and ceramics,Process cooling,electricity,,
Electricity,Industrie,Glass and ceramics,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Glass and ceramics,Space cooling,electricity,,
Electricity,Industrie,Glass and ceramics,Space heating,electricity,,
Electricity,Industrie,Glass and ceramics,Process heat (industrial furnaces),electricity,,
Electricity,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),electricity,,
Electricity,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,electricity,,
Electricity,Industrie,Machinery and equipment (mechanical engineering),Process cooling,electricity,,
Electricity,Industrie,Machinery and equipment (mechanical engineering),Mechanical and other electricity use,electricity,,
Electricity,Industrie,Machinery and equipment (mechanical engineering),Space cooling,electricity,,
Electricity,Industrie,Machinery and equipment (mechanical engineering),Space heating,electricity,,
Electricity,Industrie,Metallerzeugung ,Process heat (steam),electricity,,
Electricity,Industrie,Metallerzeugung ,Energy balance calibration,electricity,,
Electricity,Industrie,Metallerzeugung ,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Metallerzeugung ,Space cooling,electricity,,
Electricity,Industrie,Metallerzeugung ,Space heating,electricity,,
Electricity,Industrie,Metallerzeugung ,Process heat (industrial furnaces),electricity,,
Electricity,Industrie,Non-ferrous metals and foundries,Process heat (steam),electricity,,
Electricity,Industrie,Non-ferrous metals and foundries,Electrolysis (aluminium smelting),electricity,,
Electricity,Industrie,Non-ferrous metals and foundries,Energy balance calibration,electricity,,
Electricity,Industrie,Non-ferrous metals and foundries,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Non-ferrous metals and foundries,Space cooling,electricity,,
Electricity,Industrie,Non-ferrous metals and foundries,Space heating,electricity,,
Electricity,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),electricity,,
Electricity,Industrie,Other chemical industry,Process heat (steam),electricity,,
Electricity,Industrie,Other chemical industry,Energy balance calibration,electricity,,
Electricity,Industrie,Other chemical industry,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Other chemical industry,Space cooling,electricity,,
Electricity,Industrie,Other chemical industry,Space heating,electricity,,
Electricity,Industrie,Other chemical industry,Process heat (industrial furnaces),electricity,,
Electricity,Industrie,Other economic sectors,Process heat (steam),electricity,,
Electricity,Industrie,Other economic sectors,Energy balance calibration,electricity,,
Electricity,Industrie,Other economic sectors,Process cooling,electricity,,
Electricity,Industrie,Other economic sectors,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Other economic sectors,Space cooling,electricity,,
Electricity,Industrie,Other economic sectors,Space heating,electricity,,
Electricity,Industrie,Paper industry,Process heat (steam),electricity,,
Electricity,Industrie,Paper industry,Energy balance calibration,electricity,,
Electricity,Industrie,Paper industry,Process cooling,electricity,,
Electricity,Industrie,Paper industry,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Paper industry,Space cooling,electricity,,
Electricity,Industrie,Paper industry,Space heating,electricity,,
Electricity,Industrie,Paper industry,Process heat (industrial furnaces),electricity,,
Electricity,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),electricity,,
Electricity,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,electricity,,
Electricity,Industrie,Processing of stone and earth (non-metallic mineral processing),Process cooling,electricity,,
Electricity,Industrie,Processing of stone and earth (non-metallic mineral processing),Mechanical and other electricity use,electricity,,
Electricity,Industrie,Processing of stone and earth (non-metallic mineral processing),Space cooling,electricity,,
Electricity,Industrie,Processing of stone and earth (non-metallic mineral processing),Space heating,electricity,,
Electricity,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),electricity,,
Electricity,Industrie,Processing of stone and earth (non-metallic mineral processing),Carbon capture and storage,,drop (endogenous),
Electricity,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),electricity,,
Electricity,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,electricity,,
Electricity,Industrie,Quarrying of stone and earth; other mining,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Quarrying of stone and earth; other mining,Space cooling,electricity,,
Electricity,Industrie,Quarrying of stone and earth; other mining,Space heating,electricity,,
Electricity,Industrie,Rubber and plastic products,Process heat (steam),electricity,,
Electricity,Industrie,Rubber and plastic products,Energy balance calibration,electricity,,
Electricity,Industrie,Rubber and plastic products,Process cooling,electricity,,
Electricity,Industrie,Rubber and plastic products,Mechanical and other electricity use,electricity,,
Electricity,Industrie,Rubber and plastic products,Space cooling,electricity,,
Electricity,Industrie,Rubber and plastic products,Space heating,electricity,,
Electricity,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),electricity,,
Electricity,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,electricity,,
Electricity,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Mechanical and other electricity use,electricity,,
Electricity,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Space cooling,electricity,,
Electricity,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Space heating,electricity,,
Fuel oil,Industrie,Basic chemicals,Process heat (steam),oil,,
Fuel oil,Industrie,Basic chemicals,Energy balance calibration,oil,,
Fuel oil,Industrie,Basic chemicals,Space heating,oil,,
Fuel oil,Industrie,Basic chemicals,Process heat (industrial furnaces),oil,,
Fuel oil,Industrie,Basic chemicals,Raw material (feedstock) demand,oil,,
Fuel oil,Industrie,Fabricated metal products (metalworking),Process heat (steam),oil,,
Fuel oil,Industrie,Fabricated metal products (metalworking),Energy balance calibration,oil,,
Fuel oil,Industrie,Fabricated metal products (metalworking),Space heating,oil,,
Fuel oil,Industrie,Food and tobacco,Process heat (steam),oil,,
Fuel oil,Industrie,Food and tobacco,Energy balance calibration,oil,,
Fuel oil,Industrie,Food and tobacco,Space heating,oil,,
Fuel oil,Industrie,Food and tobacco,Process heat (industrial furnaces),oil,,
Fuel oil,Industrie,Glass and ceramics,Process heat (steam),oil,,
Fuel oil,Industrie,Glass and ceramics,Energy balance calibration,oil,,
Fuel oil,Industrie,Glass and ceramics,Space heating,oil,,
Fuel oil,Industrie,Glass and ceramics,Process heat (industrial furnaces),oil,,
Fuel oil,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),oil,,
Fuel oil,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,oil,,
Fuel oil,Industrie,Machinery and equipment (mechanical engineering),Space heating,oil,,
Fuel oil,Industrie,Metallerzeugung ,Process heat (steam),oil,,
Fuel oil,Industrie,Metallerzeugung ,Energy balance calibration,oil,,
Fuel oil,Industrie,Metallerzeugung ,Space heating,oil,,
Fuel oil,Industrie,Metallerzeugung ,Process heat (industrial furnaces),oil,,
Fuel oil,Industrie,Non-ferrous metals and foundries,Process heat (steam),oil,,
Fuel oil,Industrie,Non-ferrous metals and foundries,Energy balance calibration,oil,,
Fuel oil,Industrie,Non-ferrous metals and foundries,Space heating,oil,,
Fuel oil,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),oil,,
Fuel oil,Industrie,Other chemical industry,Process heat (steam),oil,,
Fuel oil,Industrie,Other chemical industry,Energy balance calibration,oil,,
Fuel oil,Industrie,Other chemical industry,Space heating,oil,,
Fuel oil,Industrie,Other chemical industry,Process heat (industrial furnaces),oil,,
Fuel oil,Industrie,Other economic sectors,Process heat (steam),oil,,
Fuel oil,Industrie,Other economic sectors,Energy balance calibration,oil,,
Fuel oil,Industrie,Other economic sectors,Space heating,oil,,
Fuel oil,Industrie,Paper industry,Process heat (steam),oil,,
Fuel oil,Industrie,Paper industry,Energy balance calibration,oil,,
Fuel oil,Industrie,Paper industry,Space heating,oil,,
